Id,Id_jogador,Id_Edição
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,0,2
13,13,2
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,0,3
25,14,3
26,15,3
27,17,3
28,19,3
29,20,3
30,21,3
31,22,3
32,23,3
33,24,3
34,25,3
35,26,3
