Id_equipa,Golos
1,18
2,11
3,5
4,10
5,6
6,8
7,9
8,12
9,10
10,10
11,9
12,10
13,4
14,10
15,6
16,5
17,10
18,9
19,13
20,8
21,10
22,7
23,8
24,6
25,14
26,20
27,10
28,9
29,11
30,6
31,7
32,9
33,6
34,10
35,19
36,6
37,6
38,12
39,17
40,9
41,6
42,14
43,13
44,7
45,7
46,7
47,13
48,15
49,13
50,17
